"Province/State","Country/Region","Last Update","Confirmed","Deaths","Recovered"
"Hubei","Mainland China","2/2/20 23:43","11177","350","295"
"Zhejiang","Mainland China","2/2/20 18:03","661","0","32"
"Guangdong","Mainland China","2/2/20 18:03","632","0","15"
"Henan","Mainland China","2/2/20 18:03","493","2","10"
"Hunan","Mainland China","2/2/20 18:03","463","0","16"
"Anhui","Mainland China","2/2/20 18:03","340","0","7"
"Jiangxi","Mainland China","2/2/20 18:03","333","0","12"
"Chongqing","Mainland China","2/2/20 23:33","300","2","7"
"Jiangsu","Mainland China","2/2/20 18:03","236","0","7"
"Sichuan","Mainland China","2/2/20 18:03","231","1","11"
"Shandong","Mainland China","2/2/20 18:03","230","0","6"
"Shanghai","Mainland China","2/3/20 0:03","193","1","10"
"Beijing","Mainland China","2/2/20 8:43","191","1","9"
"Fujian","Mainland China","2/2/20 3:43","159","0","0"
"Guangxi","Mainland China","2/3/20 0:13","127","0","2"
"Shaanxi","Mainland China","2/2/20 3:23","116","0","0"
"Hebei","Mainland China","2/3/20 0:23","113","1","3"
"Yunnan","Mainland China","2/2/20 18:03","105","0","3"
"Heilongjiang","Mainland China","2/2/20 3:23","95","2","2"
"Liaoning","Mainland China","2/2/20 18:03","70","0","1"
"Shanxi","Mainland China","2/2/20 23:23","66","0","3"
"Hainan","Mainland China","2/2/20 18:03","64","1","4"
"Gansu","Mainland China","2/2/20 23:43","51","0","3"
"Tianjin","Mainland China","2/2/20 9:43","48","0","1"
"Guizhou","Mainland China","2/2/20 1:03","38","0","2"
"Ningxia","Mainland China","2/2/20 1:43","28","0","0"
"Inner Mongolia","Mainland China","2/2/20 3:43","27","0","1"
"Jilin","Mainland China","2/2/20 2:33","23","0","1"
"Xinjiang","Mainland China","2/2/20 0:43","21","0","0"
"","Japan","2/1/20 18:53","20","0","1"
"","Thailand","##########","19","0","5"
"","Singapore","2/2/20 1:03","18","0","0"
"Hong Kong","Hong Kong","2/2/20 23:53","15","0","0"
"","South Korea","2/2/20 2:23","15","0","0"
"Qinghai","Mainland China","2/2/20 5:33","11","0","0"
"","Germany","2/2/20 18:03","10","0","0"
"Taiwan","Taiwan","##########","10","0","0"
"Macau","Macau","2/2/20 4:23","8","0","0"
"","Malaysia","1/31/20 8:15","8","0","0"
"","France","2/1/20 1:52","6","0","0"
"","Vietnam","2/1/20 7:38","6","0","1"
"","United Arab Emirates","2/2/20 5:43","5","0","0"
"New South Wales","Australia","2/1/20 18:12","4","0","2"
"Victoria","Australia","2/1/20 18:12","4","0","0"
"Ontario","Canada","2/1/20 18:12","3","0","0"
"Queensland","Australia","2/2/20 22:33","2","0","0"
"South Australia","Australia","2/2/20 22:33","2","0","0"
"","India","2/2/20 6:03","2","0","0"
"","Italy","1/31/20 8:15","2","0","0"
"","Philippines","2/2/20 3:33","2","1","0"
"","Russia","##########","2","0","0"
"","UK","2/1/20 1:52","2","0","0"
"Chicago, IL","US","2/1/20 19:43","2","0","0"
"","Cambodia","1/31/20 8:15","1","0","0"
"British Columbia","Canada","2/1/20 18:12","1","0","0"
"","Finland","1/31/20 8:15","1","0","0"
"Tibet","Mainland China","2/1/20 1:52","1","0","0"
"","Nepal","1/31/20 8:15","1","0","0"
"","Spain","2/1/20 23:43","1","0","0"
"","Sri Lanka","1/31/20 8:15","1","0","0"
"","Sweden","2/1/20 2:13","1","0","0"
"Boston, MA","US","2/1/20 19:43","1","0","0"
"Los Angeles, CA","US","2/1/20 19:53","1","0","0"
"Orange, CA","US","2/1/20 19:53","1","0","0"
"Santa Clara, CA","US","2/1/20 19:53","1","0","0"
"Seattle, WA","US","2/1/20 19:43","1","0","0"
"Tempe, AZ","US","2/1/20 19:43","1","0","0"
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
